
第一章	危害国家安全罪
312	非法出售、私赠文物藏品罪	刑法第327条
313	盗掘古文化遗址、古墓葬罪	刑法第328条第1款
314	盗掘古人类化石、古脊椎动物化石罪	刑法第328条第2款
315	抢夺、窃取国有档案罪	刑法第329条第1款
316	擅自出卖、转让国有档案罪	刑法第329条第2款
第五节	危害公共卫生罪
317	妨害传染病防治罪	刑法第330条
318	传染病菌种、毒种扩散罪	刑法第331条
319	妨害国境卫生检疫罪	刑法第332条
320	非法组织卖血罪	刑法第333条第1款
321	强迫卖血罪	刑法第333条第1款
322	非法采集、供应血液、制作、供应血液制品罪	刑法第334条第1款
323	采集、供应血液、制作、供应血液制品事故罪	刑法第334条第2款
324	医疗事故罪	刑法第335条
325	非法行医罪	刑法第336条第1款
326	非法进行节育手术罪	刑法第336条第2款
327	妨害动植物防疫、检疫罪	刑法第337条第1款
第六节	破坏环境资源保护罪
328	污染环境罪	刑法第338条
329	非法处置进口的固体废物罪	刑法第339条第1款
330	擅自进口固体废物罪	刑法第339条第2款
331	非法捕捞水产品罪	刑法第340条
332	非法猎捕、杀害珍贵、濒危野生动物罪	刑法第341条第1款
333	非法收购、运输、出售珍贵、濒危野生动物、珍贵、濒危野生动物制品罪	刑法第341条第1款
334	非法狩猎罪	刑法第341条第2款
335	非法占用农用地罪	刑法第342条
336	非法采矿罪	刑法第343条第1款
337	破坏性采矿罪	刑法第343条第2款
338	非法采伐、毁坏国家重点保护植物罪	刑法第344条
339	非法收购、运输、加工、出售国家重点保护植物、国家重点保护植物制品罪	同上
340	盗伐林木罪	刑法第345条第1款
341	滥伐林木罪	刑法第345条第2款
342	非法收购、运输盗伐、滥伐的林木罪	刑法第345条第3款
第七节	走私、贩卖、运输、制造毒品罪
343	走私、贩卖、运输、制造毒品罪	刑法第347条
344	非法持有毒品罪	刑法第348条
345	包庇毒品犯罪分子罪	刑法第349条第1款、第2款
346	窝藏、转移、隐瞒毒品、毒赃罪	刑法第349条第1款
347	非法生产、买卖、运输制毒物品、走私制毒物品罪	刑法第350条
348	非法种植毒品原植物罪	刑法第351条
349	非法买卖、运输、携带、持有毒品原植物种子、幼苗罪	刑法第352条
350	引诱、教唆、欺骗他人吸毒罪	刑法第353条第1款
351	强迫他人吸毒罪	刑法第353条第2款
352	容留他人吸毒罪	刑法第354条
353	非法提供麻醉药品、精神药品罪	刑法第355条
第八节	组织、强迫、引诱、容留、介绍卖淫罪
354	组织卖淫罪	刑法第358条第1款
355	强迫卖淫罪	刑法第358条第1款
356	协助组织卖淫罪	刑法第358条第3款
357	引诱、容留、介绍卖淫罪	刑法第359条第1款
358	引诱幼女卖淫罪	刑法第359条第2款
359	传播性病罪	刑法第360条第1款
第九节	制作、贩卖、传播淫秽物品罪
360	制作、复制、出版、贩卖、传播淫秽物品牟利罪	刑法第363条第1款
361	为他人提供书号出版淫秽书刊罪	刑法第363条第2款
362	传播淫秽物品罪	刑法第364条第1款
363	组织播放淫秽音像制品罪	刑法第364条第2款
364	组织淫秽表演罪	刑法第365条
第七章	危害国防利益罪
365	阻碍军人执行职务罪	刑法第368条第1款
366	阻碍军事行动罪	刑法第368条第2款
367	破坏武器装备、军事设施、军事通信罪	刑法第369条
368	过失损坏武器装备、军事设施、军事通信罪	刑法第369条第2款
369	故意提供不合格武器装备、军事设施罪	刑法第370条第1款
370	过失提供不合格武器装备、军事设施罪	刑法第370条第2款
371	聚众冲击军事禁区罪	刑法第371条第1款
372	聚众扰乱军事管理区秩序罪	刑法第371条第2款
373	冒充军人招摇撞骗罪	刑法第372条
374	煽动军人逃离部队罪	刑法第373条
375	雇用逃离部队军人罪	刑法第373条
376	接送不合格兵员罪	刑法第374条
377	伪造、变造、买卖武装部队公文、证件、印章罪	刑法第375条第1款
378	盗窃、抢夺武装部队公文、证件、印章罪	刑法第375条第1款
379	非法生产、买卖武装部队制式服装罪	刑法第375条第2款
380	伪造、盗窃、买卖、非法提供、非法使用武装部队专用标志罪	刑法第375条第3款
381	战时拒绝、逃避征召、军事训练罪	刑法第376条第1款
382	战时拒绝、逃避服役罪	刑法第376条第2款
383	战时故意提供虚假敌情罪	刑法第377条
384	战时造谣扰乱军心罪	刑法第378条
385	战时窝藏逃离部队军人罪	刑法第379条
386	战时拒绝、故意延误军事订货罪	刑法第380条
387	战时拒绝军事征收、征用罪	刑法第381条
第八章	贪污贿赂罪
388	贪污罪	刑法第382条
389	挪用公款罪	刑法第384条
390	受贿罪	刑法第385条
391	单位受贿罪	刑法第387条
392	利用影响力受贿罪	刑法第388条之一
393	行贿罪	刑法第389条
394	对有影响力的人行贿罪	刑法第390条之一
395	对单位行贿罪	刑法第391条
396	介绍贿赂罪	刑法第392条
397	单位行贿罪	刑法第393条
398	巨额财产来源不明罪	刑法第395条第1款
399	隐瞒境外存款罪	刑法第395条第2款
400	私分国有资产罪	刑法第396条第1款
401	私分罚没财物罪	刑法第396条第2款
第九章	渎职罪
402	滥用职权罪	刑法第397条
403	玩忽职守罪	刑法第397条
404	故意泄露国家秘密罪	刑法第398条
405	过失泄露国家秘密罪	刑法第398条
406	徇私枉法罪	刑法第399条第1款
407	民事、行政枉法裁判罪	刑法第399条第2款
408	执行判决、裁定失职罪	刑法第399条第3款
409	执行判决、裁定滥用职权罪	同上
410	枉法仲裁罪	刑法第399条之一
411	私放在押人员罪	刑法第400条第1款
412	失职致使在押人员脱逃罪	刑法第400条第2款
413	徇私舞弊减刑、假释、暂予监外执行罪	刑法第401条
414	徇私舞弊不移交刑事案件罪	刑法第402条
415	滥用管理公司、证券职权罪	刑法第403条
416	徇私舞弊不征、少征税款罪	刑法第404条
417	徇私舞弊发售发票、抵扣税款、出口退税罪	刑法第405条第1款
418	违法提供出口退税凭证罪	刑法第405条第2款
419	国家机关工作人员签订、履行合同失职被骗罪	刑法第406条
420	违法发放林木采伐许可证罪	刑法第407条
421	环境监管失职罪	刑法第408条
422	食品监管渎职罪	刑法第408条之一
423	传染病防治失职罪	刑法第409条
424	非法批准征收、征用、占用土地罪	刑法第410条
425	非法低价出让国有土地使用权罪	刑法第410条
426	放纵走私罪	刑法第411条
427	商检徇私舞弊罪	刑法第412条第1款
428	商检失职罪	刑法第412条第2款
429	动植物检疫徇私舞弊罪	刑法第413条第1款
430	动植物检疫失职罪	刑法第413条第2款
431	放纵制售伪劣商品犯罪行为罪	刑法第414条
432	办理偷越国（边）境人员出入境证件罪	刑法第415条
433	放行偷越国（边）境人员罪	刑法第415条
434	不解救被拐卖、绑架妇女、儿童罪	刑法第416条第1款
435	阻碍解救被拐卖、绑架妇女、儿童罪	刑法第416条第2款
436	帮助犯罪分子逃避处罚罪	刑法第417条
437	招收公务员、学生徇私舞弊罪	刑法第418条
438	失职造成珍贵文物损毁、流失罪	刑法第419条
第十章	军人违反职责罪
439	战时违抗命令罪	刑法第421条
440	隐瞒、谎报军情罪	刑法第422条
441	拒传、假传军令罪	刑法第422条
442	投降罪	刑法第423条
443	战时临阵脱逃罪	刑法第424条
444	擅离、玩忽军事职守罪	刑法第425条
445	阻碍执行军事职务罪	刑法第426条
446	指使部属违反职责罪	刑法第427条
447	违令作战消极罪	刑法第428条
448	拒不救援友邻部队罪	刑法第429条
449	军人叛逃罪	刑法第430条
450	非法获取军事秘密罪	刑法第431条第1款
451	为境外窃取、剌探、收买、非法提供军事秘密罪	刑法第431条第2款
452	故意泄露军事秘密罪	刑法第432条
453	过失泄露军事秘密罪	刑法第432条
454	战时造谣惑众罪	刑法第433条
455	战时自伤罪	刑法第434条
456	逃离部队罪	刑法第435条
457	武器装备肇事罪	刑法第436条
458	擅自改变武器装备编配用途罪	刑法第437条
459	盗窃、抢夺武器装备、军用物资罪	刑法第438条
460	非法出卖、转让武器装备罪	刑法第439条
461	遗弃武器装备罪	刑法第440条
462	遗失武器装备罪	刑法第441条
463	擅自出卖、转让军队房地产罪	刑法第442条
464	虐待部属罪	刑法第443条
465	遗弃伤病军人罪	刑法第444条
466	战时拒不救治伤病军人罪	刑法第445条
467	战时残害居民、掠夺居民财物罪	刑法第446条
468	私放俘虏罪	刑法第447条
469	虐待俘虏罪	刑法第448条
